popularity,votes,premiere_year,genre,country_origin,original_language,rating_label
108.782,16556,2008,"Drama, Crime",United States,English,excellent
12.5347,4557,2005,"Animation, Action & Adventure, Sci-Fi & Fantasy",United States,English,excellent
22.5739,5481,2021,"Animation, Sci-Fi & Fantasy, Drama, Action & Adventure",United States,English,excellent
18.5771,423,2025,Drama,South Korea,Korean,excellent
28.3761,565,2023,"Animation, Action & Adventure, Drama, Sci-Fi & Fantasy",Japan,Japanese,excellent
31.227,5043,1999,"Action & Adventure, Comedy, Animation",Japan,Japanese,excellent
15.9934,2291,2009,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",Japan,Japanese,excellent
33.9177,689,2019,"Drama, Family, Action & Adventure",United States,English,excellent
37.4222,5992,2015,"Crime, Drama",United States,English,excellent
25.0952,7275,2019,Drama,United States,English,excellent
54.6626,10507,2013,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure",United States,English,excellent
23.3796,274,2023,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy",United States,English,excellent
20.5904,7084,2013,"Animation, Sci-Fi & Fantasy, Action & Adventure",Japan,Japanese,excellent
140.6574,1429,2024,"Animation, Comedy, Drama, Sci-Fi & Fantasy",United States,English,excellent
14.163,1728,2020,"Animation, Sci-Fi & Fantasy, Drama, Action & Adventure, Comedy, Kids",United States,English,excellent
35.8198,1971,2011,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
14.5148,4832,2017,"Drama, Family",Canada,English,excellent
59.8011,3185,1999,"Crime, Drama",United States,English,excellent
12.9971,938,1993,"Animation, Comedy",Japan,Japanese,excellent
21.9981,297,2025,Drama,United States,English,excellent
8.0973,982,2012,"Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,excellent
21.1091,6975,2019,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
12.6064,1498,2017,"Comedy, Family, Soap",Argentina,Spanish,excellent
19.7234,1147,2000,"Animation, Comedy, Drama, Action & Adventure",Japan,Japanese,excellent
38.9142,2149,2010,"Animation, Comedy",United States,English,excellent
3.8724,402,1980,Documentary,United States,English,excellent
12.2642,1146,2007,"Comedy, Sci-Fi & Fantasy, Kids",United States,English,excellent
17.2726,4597,2006,"Animation, Mystery, Sci-Fi & Fantasy",Japan,Japanese,excellent
30.1695,5172,2021,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama",United States,English,excellent
7.9103,1475,2019,"Action & Adventure, Animation, Drama",United States,English,excellent
12.1135,754,2020,"Animation, Mystery, Comedy, Action & Adventure, Drama",Japan,Japanese,excellent
20.4111,5124,2016,"Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,excellent
28.8855,471,2023,"Animation, Drama, Mystery",Japan,Japanese,excellent
